0.0, 50.0
12.5, 49.9155366842964
25.0, 49.66210044534648
37.5, 49.23955228068439
50.0, 48.64766009555831
62.5, 47.886098064111025
75.0, 46.95444572928875
87.5, 45.85218683565063
100.0, 44.57870788747607
112.5, 43.13329642269264
125.0, 41.51513899116799
137.5, 39.72331882378512
150.0, 37.75681317643421
162.5, 35.614490330567946
175.0, 33.295106229247494
187.5, 30.797300724615752
200.0, 28.119593409422123
212.5, 25.260379001541992
225.0, 22.21792224631804
237.5, 18.99035229693618
250.0, 15.575656527843762
260.0, 15.57
